Company,Utility,Location,Date,Gallons,X,Y
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,8/1/2023 0:00,532056.6,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,9/1/2023 0:00,370613.4,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,10/1/2023 0:00,285701.3,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,11/1/2023 0:00,25592.4,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,12/1/2023 0:00,6461.1,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,1/1/2024 0:00,5778.3,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,2/1/2024 0:00,5480.7,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,3/1/2024 0:00,117453.7,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,4/1/2024 0:00,104442.6,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,5/1/2024 0:00,122528.2,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,6/1/2024 0:00,597080.3,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,7/1/2024 0:00,855680.1,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,8/1/2024 0:00,490330.8,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,9/1/2024 0:00,15086.2,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,10/1/2024 0:00,4072.8,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,11/1/2024 0:00,7598.3,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,12/1/2024 0:00,3691,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,1/1/2025 0:00,3993.3,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,2/1/2025 0:00,4195.1,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,3/1/2025 0:00,3951.2,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,4/1/2025 0:00,148167,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,5/1/2025 0:00,34454,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,6/1/2025 0:00,327610,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,7/1/2025 0:00,354948.2,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,8/1/2025 0:00,93087,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,9/1/2025 0:00,54564,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,10/1/2025 0:00,4541.2,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,11/1/2025 0:00,4155,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,12/1/2025 0:00,4749,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,1/1/2023 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,2/1/2023 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,3/1/2023 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,4/1/2023 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,5/1/2023 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,6/1/2023 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,7/1/2023 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,8/1/2023 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,9/1/2023 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,10/1/2023 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,11/1/2023 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,12/1/2023 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,1/1/2024 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,2/1/2024 0:00,0,38.82,-77.65
